"These are the prov climates for the Sx CC/genecology trial, queried by Greg March 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data from ClimateBC ver 5.40 (about 66 prov) and ClimWNA 5.4 (the remainder, except one Ont prov which is from ClimNA 5.40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are normals for 1961-1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta SO pops designated as Class B because GW < 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seedlot_code,seedlot_number,seedlot_name,Province,Class,lat_P,long_P,elev_P,MAT_P,MWMT_P,MCMT_P,TD_P,MAP_P,MSP_P,AHM_P,SHM_P,DD_0_P,DD5_P,DD_18_P,DD18_P,NFFD_P,bFFP_P,eFFP_P,FFP_P,PAS_P,EMT_P,EXT_P,Eref_P,CMD_P,MAR_P,RH_P
364,4,Athabasca,AB,B,57.92,-115.5,360,-0.4,17,-22.2,39.1,402,251,24,67.6,2314,1338,6707,52,152,142,254,112,125,-45.3,35.3,514,227,11.1,57
365,6,Lac La Biche,AB,B,58.73,-111.25,235,-1.9,16.4,-24.1,40.6,380,230,21.4,71.5,2700,1196,7249,40,144,148,251,103,133,-46.1,35.4,473,208,10.9,58
366,12,Slave Lake,AB,B,54.97,-110.220001,610,0.1,16,-19.2,35.2,457,312,22.1,51.1,2029,1194,6521,34,148,152,248,96,121,-45.1,33.8,516,161,11.8,58
367,16,Slave Lake,AB,B,54.8,-116.980003,731,1.8,15.3,-14.5,29.8,570,383,20.7,39.9,1539,1238,5905,30,154,145,253,108,150,-46.1,32.9,528,100,11.9,57
368,17,Grande Prairie,AB,B,54.23,-114.769997,610,1.8,16.2,-15.3,31.5,486,343,24.2,47.1,1642,1340,5918,42,153,146,251,105,113,-46.6,33.9,569,186,11.8,55
369,27,Edson,AB,B,55.58,-118.300003,640,1.4,15.7,-15.8,31.5,474,296,24,52.9,1697,1275,6053,35,154,144,252,108,144,-46.7,33.8,532,191,11.8,57
370,31,Clearwater/Rocky,AB,B,53.77,-118.800003,1402,1.2,12.3,-9.7,22,613,381,18.2,32.2,1264,804,6126,8,134,163,250,87,206,-44.2,29.3,455,32,12.1,59
371,40,Bow/Crow,AB,B,52.17,-115.470001,1341,1.1,13,-12.5,25.6,601,400,18.4,32.6,1407,903,6158,11,131,163,249,86,178,-46,31.8,510,45,12.5,55
372,46,Bow/Crow,AB,B,51.4,-115.220001,1750,0.5,12.1,-12,24.2,689,404,15.2,30.1,1448,765,6373,7,123,172,244,72,267,-45.2,30.5,491,21,14.2,58
373,48,Cypress Hills,AB,B,49.65,-114.620003,1585,2.1,13.5,-9.5,23.1,691,304,17.5,44.5,1113,943,5791,13,146,159,249,90,315,-40,32.2,520,142,14,65
374,446,Edson,AB,B,49.65,-110.230003,1310,2.8,16.1,-10.2,26.4,430,257,29.9,62.7,1200,1285,5533,41,148,151,247,96,133,-42.8,36.1,623,314,14.4,56
375,782,Bow/Crow,AB,B,53.05,-117.470001,1707,-0.2,11.5,-12.1,23.6,908,522,10.8,22.1,1535,670,6613,5,126,162,247,86,381,-46.6,28.5,385,0,12.9,60
